Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61995336,1.0,l,1712646955.59,2024/04/09 07:15:55,2024/04/09 00:15:55 PDT,"0.2 km from Mt Rainier, WA",46.8552,-121.7595,1.4,0.9
61995201,0.5,l,1712593389.43,2024/04/08 16:23:09,2024/04/08 09:23:09 PDT,"18.0 km from Mt Rainier, WA",46.742,-121.9313,7.1,4.4
61995056,0.7,l,1712521899.49,2024/04/07 20:31:39,2024/04/07 13:31:39 PDT,"14.5 km from Mt Rainier, WA",46.8127,-121.9402,9.5,5.9
61994846,0.5,l,1712439403.15,2024/04/06 21:36:43,2024/04/06 14:36:43 PDT,"13.6 km from Mt Rainier, WA",46.8553,-121.9388,10.5,6.5
61994551,1.0,l,1712348135.38,2024/04/05 20:15:35,2024/04/05 13:15:35 PDT,"21.3 km from Mt Rainier, WA",46.692,-121.9117,5.0,3.1
61994466,1.1,l,1712293541.1,2024/04/05 05:05:41,2024/04/04 22:05:41 PDT,"19.5 km from Mt Rainier, WA",46.9535,-121.9698,14.2,8.8
61994326,0.5,l,1712248736.06,2024/04/04 16:38:56,2024/04/04 09:38:56 PDT,"0.2 km from Mt Rainier, WA",46.8532,-121.7573,1.6,1.0
61994301,0.4,l,1712231658.12,2024/04/04 11:54:18,2024/04/04 04:54:18 PDT,"13.8 km from Mt Rainier, WA",46.8505,-121.9415,9.7,6.0
61994226,0.3,l,1712193676.66,2024/04/04 01:21:16,2024/04/03 18:21:16 PDT,"17.7 km from Mt Rainier, WA",46.755,-121.9423,2.9,1.8
61986132,0.5,l,1712164151.21,2024/04/03 17:09:11,2024/04/03 10:09:11 PDT,"13.3 km from Mt Rainier, WA",46.8613,-121.9335,10.1,6.2
61985937,0.5,l,1712093647.57,2024/04/02 21:34:07,2024/04/02 14:34:07 PDT,"14.9 km from Mt Rainier, WA",46.856,-121.9557,9.3,5.8
61985827,0.0,l,1712064690.79,2024/04/02 13:31:30,2024/04/02 06:31:30 PDT,"16.5 km from Mt Rainier, WA",46.8755,-121.9742,6.4,4.0
61985797,0.1,l,1712050550.42,2024/04/02 09:35:50,2024/04/02 02:35:50 PDT,"13.2 km from Mt Rainier, WA",46.8623,-121.9323,6.7,4.1
61985782,0.0,l,1712046196.15,2024/04/02 08:23:16,2024/04/02 01:23:16 PDT,"15.0 km from Mt Rainier, WA",46.9218,-121.9297,9.1,5.6
61985372,0.4,l,1711868732.23,2024/03/31 07:05:32,2024/03/31 00:05:32 PDT,"21.1 km from Mt Rainier, WA",46.9748,-121.9727,5.0,3.1
61985362,0.5,l,1711852790.12,2024/03/31 02:39:50,2024/03/30 19:39:50 PDT,"17.2 km from Mt Rainier, WA",46.9085,-121.9712,13.0,8.1
61985237,0.5,l,1711809532.39,2024/03/30 14:38:52,2024/03/30 07:38:52 PDT,"18.5 km from Mt Rainier, WA",46.754,-121.9547,2.3,1.4
61993056,0.6,l,1711733281.41,2024/03/29 17:28:01,2024/03/29 10:28:01 PDT,"15.0 km from Mt Rainier, WA",46.7473,-121.8808,2.8,1.7
61993051,2.4,l,1711731228.71,2024/03/29 16:53:48,2024/03/29 09:53:48 PDT,"18.1 km from Mt Rainier, WA",46.8497,-121.9973,6.7,4.1
61993031,0.0,l,1711717801.92,2024/03/29 13:10:01,2024/03/29 06:10:01 PDT,"1.9 km from Mt Rainier, WA",46.8438,-121.7395,-2.1,-1.3
61992971,1.0,l,1711666430.7,2024/03/28 22:53:50,2024/03/28 15:53:50 PDT,"21.0 km from Mt Rainier, WA",46.9733,-121.9735,5.2,3.2
61992861,0.7,l,1711609704.09,2024/03/28 07:08:24,2024/03/28 00:08:24 PDT,"18.7 km from Eatonville, WA",46.8752,-122.0197,6.7,4.2
61992771,0.4,l,1711576412.78,2024/03/27 21:53:32,2024/03/27 14:53:32 PDT,"5.6 km from Mt Rainier, WA",46.8282,-121.6970,-2.3,-1.4
61992721,0.8,l,1711563365.97,2024/03/27 18:16:05,2024/03/27 11:16:05 PDT,"18.9 km from Eatonville, WA",46.8748,-122.0175,6.5,4.0
61992196,0.4,l,1711351500.63,2024/03/25 07:25:00,2024/03/25 00:25:00 PDT,"10.8 km from Mt Rainier, WA",46.8862,-121.8933,10.6,6.6
