matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-08-29_09.36.00_UTC.h5,-122.2003333,47.63766667,100.4393105,0.97,35.23,2023-08-29 9:36:24,n
decimator_2023-08-29_10.21.00_UTC.h5,-121.9606667,46.77183333,4.869335131,0.4,10.03,2023-08-29 10:21:45,y
decimator_2023-08-29_14.09.00_UTC.h5,-122.2111667,46.18016667,66.20975055,0.12,6.93,2023-08-29 14:09:38,n
decimator_2023-08-29_16.44.00_UTC.h5,-122.1943333,46.19583333,64.13045447,0.87,1.39,2023-08-29 16:44:21,n
decimator_2023-08-29_20.31.00_UTC.h5,-121.7273333,46.87666667,10.12365355,-0.38,5.47,2023-08-29 20:31:06,n
decimator_2023-08-30_00.51.00_UTC.h5,-121.9528333,46.78616667,5.787411816,0.22,8.92,2023-08-30 0:51:10,y
decimator_2023-08-30_05.59.00_UTC.h5,-121.9601667,46.78,5.525940883,0.58,9.38,2023-08-30 5:59:50,y
decimator_2023-08-30_06.13.00_UTC.h5,-121.96,46.78,5.51813994,0.48,9.3,2023-08-30 6:13:26,y
decimator_2023-08-30_10.32.00_UTC.h5,-121.9273333,46.86133333,13.39551165,0.04,10.57,2023-08-30 10:32:15,n
decimator_2023-08-30_14.37.00_UTC.h5,-122.4768333,46.29883333,65.26681725,0.86,18.95,2023-08-30 14:37:17,n
decimator_2023-08-30_15.58.00_UTC.h5,-121.9608333,46.779,5.47061067,0.67,8.9,2023-08-30 15:58:06,y
decimator_2023-08-30_21.29.00_UTC.h5,-122.174,46.1805,65.24179074,-0.09,3.92,2023-08-30 21:29:39,n
decimator_2023-08-31_01.44.00_UTC.h5,-122.199,46.20016667,63.79936883,0,5.76,2023-08-31 1:44:06,n
decimator_2023-08-31_05.15.00_UTC.h5,-122.1976667,46.19116667,64.70545347,0.18,1.29,2023-08-31 5:15:48,n
decimator_2023-08-31_05.34.00_UTC.h5,-121.6953333,46.83366667,6.187466957,0.58,8.45,2023-08-31 5:34:05,m
decimator_2023-08-31_06.40.00_UTC.h5,-122.2111667,46.19933333,64.21360551,-0.12,-1.77,2023-08-31 6:40:32,n
decimator_2023-08-31_09.18.00_UTC.h5,-122.1891667,46.198,63.77052116,0.1,2.54,2023-08-31 9:18:19,n
decimator_2023-08-31_10.04.00_UTC.h5,-122.1923333,46.196,64.06139263,-0.03,2.6,2023-08-31 10:04:55,n
decimator_2023-08-31_10.22.00_UTC.h5,-122.194,46.196,64.10437722,0.05,2.69,2023-08-31 10:22:25,n
decimator_2023-08-31_11.34.00_UTC.h5,-122.191,46.196,64.0271674,-0.09,3.97,2023-08-31 11:34:47,n
decimator_2023-08-31_12.02.00_UTC.h5,-122.3958333,46.49416667,45.80216365,0.85,18.01,2023-08-31 12:02:30,m
decimator_2023-08-31_12.08.00_UTC.h5,-122.1878333,46.1975,63.78900488,-0.03,0.26,2023-08-31 12:08:55,n
decimator_2023-08-31_12.29.00_UTC.h5,-122.2156667,46.18666667,65.65339997,-0.07,4.14,2023-08-31 12:29:44,n
decimator_2023-08-31_14.46.00_UTC.h5,-122.155,46.1725,65.66064833,-0.04,5.97,2023-08-31 14:46:35,n
decimator_2023-08-31_15.14.00_UTC.h5,-121.9665,46.77116667,5.143700555,0.53,8.92,2023-08-31 15:14:16,y
decimator_2023-08-31_16.00.00_UTC.h5,-122.2083333,46.18116667,66.03032528,0.06,6.31,2023-08-31 16:00:25,n
decimator_2023-08-31_17.02.00_UTC.h5,-122.1941667,46.19716667,63.98652392,0.05,-0.69,2023-08-31 17:02:42,n
