Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology
94,899.7,46.78521,-121.74392,1633,14.8,801.7,276,TRUE,-531.8315174,-71.83192261,W,W,FALSE,,NW,Qra
95,909.2,46.78519,-121.74399,1633,11,807.1,266,TRUE,-537.161453,-74.05582114,W,W,FALSE,,S,Qra
96,918.8,46.78518,-121.74406,1632,11.9,812.6,255,TRUE,-542.4912918,-75.16777041,WSW,W,FALSE,,S,Qra
97,928.4,46.78517,-121.74413,1632,15.7,818.1,255,TRUE,-547.8211325,-76.27971968,WSW,W,FALSE,,S,Qra
98,938,46.78516,-121.7442,1631,15.7,823.5,255,TRUE,-553.1509752,-77.39166894,WSW,W,FALSE,,S,Qra
99,947.5,46.78514,-121.74427,1631,15.7,829,244,TRUE,-558.4809237,-79.61556748,WSW,W,FALSE,,S,Qra
100,957.1,46.7851,-121.74433,1630,15,836,233,FALSE,-563.0496931,-84.06336454,SW,W,FALSE,,S,Qra
101,966.7,46.78505,-121.74439,1630,14.2,843,222,FALSE,-567.6185748,-89.62311087,SW,SW,TRUE,,S,Qra
102,976.2,46.785,-121.74446,1629,13.4,850,222,FALSE,-572.9488588,-95.1828572,SW,SW,TRUE,,S,Qra
103,985.8,46.78496,-121.74452,1628,13.4,857,222,FALSE,-577.5176509,-99.63065427,SW,SW,TRUE,,S,Qra
104,995.4,46.78491,-121.74458,1628,13.4,864.1,222,FALSE,-582.0865579,-105.1904006,SW,SW,TRUE,,S,Qra
105,1005,46.78486,-121.74464,1627,13.4,871.1,213,FALSE,-586.6554734,-110.7501469,SSW,SW,TRUE,,S,Qra
106,1014.5,46.78482,-121.74466,1627,14.5,876,204,FALSE,-588.1787021,-115.197944,SSW,SW,TRUE,,S,Qra
107,1024.1,46.78478,-121.74467,1626,15.5,880.8,196,FALSE,-588.9405361,-119.6457411,SSW,SW,TRUE,,S,Qra
108,1033.7,46.78474,-121.74469,1626,16.6,885.7,196,FALSE,-590.4637687,-124.0935381,SSW,SW,TRUE,,S,Qra
109,1043.2,46.78469,-121.74471,1626,16.6,890.6,196,TRUE,-591.9871135,-129.6532845,SSW,SW,TRUE,,S,Qra
110,1052.8,46.78465,-121.74473,1625,16.6,895.5,196,TRUE,-593.5103509,-134.1010815,SSW,S,TRUE,,S,Qra
111,1062.4,46.78461,-121.74474,1625,16.6,900.4,192,TRUE,-594.2721913,-138.5488786,SSW,S,TRUE,,S,Qra
112,1072,46.78454,-121.74475,1624,15.2,908.1,187,TRUE,-595.0343644,-146.3325235,S,S,TRUE,,S,Qra
113,1081.5,46.78447,-121.74476,1624,13.8,915.8,183,TRUE,-595.7965394,-154.1161683,S,S,TRUE,,S,Qra
114,1091.1,46.7844,-121.74476,1624,12.4,923.5,183,FALSE,-595.7973141,-161.8998132,S,S,TRUE,,S,Qra
115,1100.7,46.78433,-121.74477,1623,12.4,931.1,182,TRUE,-596.5594921,-169.683458,S,S,TRUE,,S,Qra
116,1110.2,46.78423,-121.74477,1622,10.3,942.9,181,TRUE,-596.5606003,-180.8029507,S,S,TRUE,,S,Qra
117,1119.8,46.78412,-121.74477,1621,10.8,954.7,180,TRUE,-596.5618193,-193.0343926,S,S,TRUE,,S,Qra
118,1129.4,46.78402,-121.74476,1620,12.9,966.5,180,TRUE,-595.8015197,-204.1538853,S,S,TRUE,,S,Qra
119,1138.9,46.78391,-121.74476,1619,12.9,978.3,180,TRUE,-595.8027371,-216.3853272,S,S,TRUE,,S,Qra
120,1148.5,46.78383,-121.74476,1618,11.2,986.7,180,FALSE,-595.8036225,-225.2809213,S,S,TRUE,,S,Qra
121,1158.1,46.78376,-121.74476,1618,9.6,995.1,180,TRUE,-595.8043972,-233.0645662,S,S,TRUE,,S,Qra
122,1167.7,46.78368,-121.74476,1618,11.3,1003.5,180,TRUE,-595.8052826,-241.9601603,S,S,TRUE,,S,Qra
123,1177.2,46.78361,-121.74476,1617,11.3,1011.9,180,TRUE,-595.8060573,-249.7438052,S,S,TRUE,,S,Qra
124,1186.8,46.78355,-121.74476,1617,12.3,1018.3,180,TRUE,-595.8067213,-256.4155008,S,S,TRUE,,S,Qra
125,1196.4,46.78349,-121.74476,1616,13.3,1024.8,180,TRUE,-595.8073854,-263.0871964,S,S,TRUE,,S,Qra
126,1205.9,46.78343,-121.74476,1616,14.2,1031.3,180,TRUE,-595.8080494,-269.758892,S,S,TRUE,,S,Qra
127,1215.5,46.78338,-121.74476,1615,14.2,1037.8,180,TRUE,-595.8086027,-275.3186383,S,S,TRUE,,S,Qra
128,1225.1,46.78332,-121.74476,1615,14.2,1044.2,180,TRUE,-595.8092668,-281.9903339,S,S,TRUE,,S,Qra
129,1234.7,46.78321,-121.74476,1615,11.8,1055.6,179,TRUE,-595.8104842,-294.2217758,S,S,TRUE,,S,Qra
130,1244.2,46.78311,-121.74476,1616,9.8,1066.9,179,TRUE,-595.8115909,-305.3412684,S,S,TRUE,,S,Qra
131,1253.8,46.78301,-121.74476,1616,12.2,1078.3,179,TRUE,-595.8126976,-316.4607611,S,S,TRUE,,S,Qra
132,1263.4,46.78291,-121.74475,1616,12.2,1089.6,179,TRUE,-595.0523809,-327.5802538,S,S,TRUE,,S,Qra
133,1272.9,46.78285,-121.74475,1615,10,1096.5,179,TRUE,-595.0530441,-334.2519493,S,S,TRUE,,S,Qra
134,1282.5,46.78278,-121.74475,1614,11.4,1103.4,179,TRUE,-595.0538178,-342.0355942,S,S,TRUE,,S,Qra
135,1292.1,46.78272,-121.74475,1614,13.6,1110.3,179,TRUE,-595.054481,-348.7072898,S,S,TRUE,,S,Qra
136,1301.7,46.78266,-121.74475,1613,13.6,1117.2,180,TRUE,-595.0551442,-355.3789854,S,S,TRUE,,S,Qra
137,1311.2,46.78258,-121.74475,1613,12.5,1126.3,181,TRUE,-595.0560284,-364.2745795,S,S,TRUE,,S,Qra
138,1320.8,46.7825,-121.74475,1613,11.3,1135.5,181,TRUE,-595.0569126,-373.1701736,S,S,TRUE,,S,Qra
139,1330.4,46.78241,-121.74476,1613,10.2,1144.6,181,FALSE,-595.8193378,-383.177717,S,S,TRUE,,S,Qra
140,1339.9,46.78233,-121.74476,1613,10.2,1153.8,185,TRUE,-595.8202232,-392.0733111,S,S,TRUE,,S,Qra
141,1349.5,46.7823,-121.74477,1612,12.7,1158,189,FALSE,-596.5819872,-395.4091589,S,S,TRUE,,S,Qra
142,1359.1,46.78226,-121.74478,1612,15.2,1162.2,193,FALSE,-597.343863,-399.856956,SSW,S,TRUE,,S,Qra
143,1368.7,46.78222,-121.7448,1611,17.6,1166.4,193,FALSE,-598.8671731,-404.304753,SSW,S,TRUE,,S,Qra
144,1378.2,46.78218,-121.74481,1610,17.6,1170.6,193,FALSE,-599.6290518,-408.7525501,SSW,S,TRUE,,S,Qra
145,1387.8,46.78215,-121.74482,1610,17.6,1174.8,193,FALSE,-600.3908201,-412.0883979,SSW,S,TRUE,,S,Qra
146,1397.4,46.78211,-121.74483,1609,17.6,1179,193,FALSE,-601.1527008,-416.5361949,SSW,SSW,TRUE,,S,Qra
147,1406.9,46.78207,-121.74484,1609,17.6,1183.2,193,TRUE,-601.9145827,-420.983992,SSW,SSW,TRUE,,S,Qra
148,1416.5,46.78204,-121.74486,1608,17.6,1187.4,198,TRUE,-603.4377895,-424.3198398,SSW,SSW,TRUE,,S,Qra
149,1426.1,46.78198,-121.7449,1608,15.9,1195,203,TRUE,-606.4842082,-430.9915353,SSW,SSW,TRUE,,S,Qra
150,1435.6,46.78192,-121.74495,1607,14.2,1202.6,207,FALSE,-610.292071,-437.6632309,SSW,SW,TRUE,,S,Qra
151,1445.2,46.78186,-121.745,1607,12.5,1210.2,211,TRUE,-614.0999424,-444.3349265,SSW,SW,TRUE,,S,Qra
152,1454.8,46.7818,-121.74506,1607,12.4,1218,214,TRUE,-618.6692613,-451.0066221,SW,SW,TRUE,,S,Qra
153,1464.4,46.78174,-121.74512,1606,12.3,1225.9,218,TRUE,-623.2385903,-457.6783177,SW,SW,TRUE,,S,Qra
154,1473.9,46.78169,-121.74518,1606,12.2,1233.7,223,TRUE,-627.807813,-463.238064,SW,SW,TRUE,,S,Qra
155,1483.5,46.78165,-121.74525,1606,12.9,1240.2,228,TRUE,-633.1383679,-467.685861,SW,SW,TRUE,,S,Qra
156,1493.1,46.78162,-121.74532,1605,13.5,1246.6,232,TRUE,-638.4688121,-471.0217088,SW,WSW,TRUE,,S,Qra
157,1502.6,46.78158,-121.74539,1604,14.2,1253.1,232,TRUE,-643.7993818,-475.4695059,SW,WSW,TRUE,,S,Qra
158,1512.2,46.78155,-121.74545,1604,14.2,1259.6,238,TRUE,-648.3683963,-478.8053537,WSW,WSW,TRUE,,WNW,Qra
159,1521.8,46.78152,-121.74555,1604,13.6,1267.2,244,TRUE,-655.983188,-482.1412015,WSW,WSW,TRUE,,WNW,Qra
160,1531.4,46.7815,-121.74564,1604,13,1274.9,250,TRUE,-662.8364216,-484.3651,WSW,WSW,TRUE,,WNW,Qra
161,1540.9,46.78148,-121.74574,1604,12.4,1282.6,250,TRUE,-670.451104,-486.5889985,WSW,WSW,TRUE,,WNW,Qra
162,1550.5,46.78145,-121.74583,1604,12.4,1290.3,250,TRUE,-677.3044738,-489.9248463,WSW,W,TRUE,,WNW,Qra
163,1560.1,46.78143,-121.74593,1604,12.4,1298,258,TRUE,-684.9191686,-492.1487448,WSW,W,TRUE,,WNW,Qra
164,1569.6,46.78143,-121.74604,1603,11.9,1306.7,265,TRUE,-693.2950561,-492.1487448,W,W,TRUE,,WNW,Qra
165,1579.2,46.78144,-121.74616,1603,11.4,1315.4,272,TRUE,-702.4322574,-491.0367956,W,W,TRUE,,WNW,Qra
166,1588.8,46.78144,-121.74627,1602,10.9,1324.1,278,TRUE,-710.8081434,-491.0367956,W,W,TRUE,,WNW,Qra
167,1598.4,46.78147,-121.74639,1601,10.4,1333.8,283,TRUE,-719.9450723,-487.7009478,WNW,NW,TRUE,,WNW,Qra
168,1607.9,46.78149,-121.74651,1600,9.9,1343.5,289,TRUE,-729.0821265,-485.4770493,WNW,NW,TRUE,,WNW,Qra
169,1617.5,46.78152,-121.74663,1600,9.8,1353.2,289,TRUE,-738.2190367,-482.1412015,WNW,NW,TRUE,,WNW,Qra
170,1627.1,46.78155,-121.74675,1599,9.8,1362.8,291,TRUE,-747.3559368,-478.8053537,WNW,NW,TRUE,,WNW,Qra
171,1636.6,46.78159,-121.74686,1598,9.7,1371.9,294,TRUE,-755.7312441,-474.3575566,WNW,NW,TRUE,,WNW,Qra
172,1646.2,46.78162,-121.74696,1598,10.1,1380.9,297,TRUE,-763.3452393,-471.0217088,WNW,NW,TRUE,,WNW,Qra
173,1655.8,46.78166,-121.74707,1597,10.4,1389.9,299,TRUE,-771.7205238,-466.5739118,WNW,NW,TRUE,,WNW,Qra
174,1665.4,46.7817,-121.74716,1597,10.7,1398.4,300,TRUE,-778.5729149,-462.1261147,WNW,NW,TRUE,,WNW,Qra
175,1674.9,46.78174,-121.74726,1596,11,1406.8,302,TRUE,-786.1867358,-457.6783177,WNW,NW,TRUE,,WNW,Qra
176,1684.5,46.78178,-121.74735,1596,11.2,1415.3,302,TRUE,-793.0391059,-453.2305206,WNW,NW,TRUE,,WNW,Qra
177,1694.1,46.78182,-121.74745,1595,11.2,1423.7,302,TRUE,-800.6529047,-448.7827236,WNW,NW,TRUE,,WNW,Qra
178,1703.6,46.78186,-121.74754,1595,11.2,1432.2,303,TRUE,-807.5052539,-444.3349265,WNW,NW,TRUE,,WNW,Qra
179,1713.2,46.78191,-121.74765,1595,10.3,1442.6,303,TRUE,-815.8803168,-438.7751802,WNW,NW,TRUE,,WNW,Qra
180,1722.8,46.78196,-121.74777,1594,9.8,1452.9,304,TRUE,-825.0168009,-433.2154339,NW,NW,TRUE,,WNW,Qra
181,1732.4,46.78202,-121.74788,1594,10.8,1463.3,304,TRUE,-833.3916771,-426.5437383,NW,NW,TRUE,,WNW,Qra
182,1741.9,46.78207,-121.74799,1594,10.8,1473.7,304,TRUE,-841.766691,-420.983992,NW,NW,TRUE,,WNW,Qra
183,1751.5,46.78212,-121.7481,1594,10.5,1483.5,304,TRUE,-850.1416893,-415.4242457,NW,NW,TRUE,,WNW,Qra
184,1761.1,46.78217,-121.74821,1593,10.2,1493.4,305,TRUE,-858.5166721,-409.8644993,NW,NW,TRUE,,WNW,Qra
185,1770.6,46.78222,-121.74831,1592,10,1503.2,305,TRUE,-866.1302061,-404.304753,NW,NW,TRUE,,WNW,Qra
186,1780.2,46.78227,-121.74842,1592,10,1513.1,307,TRUE,-874.5051585,-398.7450067,NW,NW,TRUE,,WNW,Qra
187,1789.8,46.78232,-121.7485,1592,10,1521.3,309,TRUE,-880.5958001,-393.1852604,NW,NW,TRUE,,WNW,Qra
188,1799.3,46.78237,-121.74858,1591,10.8,1529.5,310,TRUE,-886.6864304,-387.625514,NW,NW,TRUE,,WNW,Qra
189,1808.9,46.78242,-121.74867,1591,11.6,1537.8,314,TRUE,-893.5384797,-382.0657677,NW,NW,TRUE,,WNW,Qra
190,1818.5,46.7825,-121.74876,1590,9.9,1549.4,318,TRUE,-900.3900145,-373.1701736,NW,NW,TRUE,,WNW,Qra
191,1828.1,46.78258,-121.74885,1589,11,1561,322,TRUE,-907.241529,-364.2745795,NW,NNW,TRUE,,WNW,Qra
192,1837.6,46.78266,-121.74895,1588,12.6,1572.6,326,TRUE,-914.85445,-355.3789854,NW,NNW,TRUE,,WNW,Qra
193,1847.2,46.78275,-121.74901,1588,12.4,1583.7,330,TRUE,-919.4214745,-345.371442,NNW,NNW,TRUE,,WNW,Qra
194,1856.8,46.78284,-121.74908,1587,12.1,1594.9,335,TRUE,-924.749908,-335.3638986,NNW,NNW,TRUE,,WNW,Qra
195,1866.3,46.78293,-121.74914,1586,11.9,1606,336,TRUE,-929.3169007,-325.3563552,NNW,NNW,TRUE,,WNW,Qra
196,1875.9,46.78303,-121.74919,1586,11.9,1617.2,336,TRUE,-933.1222829,-314.2368626,NNW,NNW,TRUE,,WNW,Qra
197,1885.5,46.78306,-121.74922,1586,10.4,1621.8,336,FALSE,-935.4060267,-310.9010148,NNW,NNW,TRUE,,WNW,Qra
198,1895.1,46.7831,-121.74925,1585,13.7,1626.4,335,FALSE,-937.6895937,-306.4532177,NNW,NNW,TRUE,,WNW,Qra
199,1904.6,46.78314,-121.74927,1585,17,1631,335,FALSE,-939.2117373,-302.0054207,NNW,NNW,TRUE,,WNW,Qra
200,1914.2,46.78317,-121.7493,1584,17,1635.6,333,FALSE,-941.495473,-298.6695729,NNW,NNW,TRUE,,WNW,Qra
