Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
2922,27966.5,46.74125,-121.88649,672.0,13.8,25525.7,326.0,True,-11396.26353,-4959.960397,NW,NW,True,,W,Qs,4.543190002441406
2923,27976.0,46.7413,-121.88654,672.0,13.8,25532.5,329.0,True,-11400.063,-4954.400652,NNW,NW,True,,W,Qs,3.7691078186035156
2924,27985.6,46.74142,-121.88662,672.0,10.0,25546.7,333.0,True,-11406.13369,-4941.057265,NNW,NW,True,,W,Qs,7.342731952667236
2925,27995.2,46.74154,-121.88669,671.0,12.9,25561.0,336.0,True,-11411.44234,-4927.713878,NNW,NW,True,,W,Qs,6.2057061195373535
2926,28004.7,46.74165,-121.88677,671.0,16.6,25575.3,332.0,True,-11417.51509,-4915.48244,NNW,NW,True,,W,Qs,2.0624196529388428
2927,28014.3,46.74187,-121.88701,671.0,24.8,25605.8,318.0,True,-11435.75653,-4891.019563,NW,NW,True,,W,Qs,6.067173004150391
2928,28023.9,46.74189,-121.88708,671.0,20.6,25611.7,304.0,False,-11441.08629,-4888.795665,NW,NW,True,,W,Qs,9.274271965026855
2929,28033.5,46.74192,-121.88715,671.0,16.4,25617.6,294.0,False,-11446.41393,-4885.459818,WNW,NW,True,,W,Qs,13.201701164245605
2930,28043.0,46.74194,-121.88722,670.0,15.1,25623.5,294.0,False,-11451.74368,-4883.23592,WNW,WSW,True,,W,Qs,9.283834457397461
2931,28052.6,46.74196,-121.88729,670.0,15.1,25629.4,294.0,False,-11457.07343,-4881.012023,WNW,WSW,True,,W,Qs,14.51171588897705
2932,28062.2,46.74198,-121.88736,670.0,15.1,25635.3,286.0,False,-11462.40318,-4878.788125,WNW,WSW,True,,W,Qs,2.120795249938965
2933,28071.7,46.74198,-121.88744,670.0,14.9,25641.5,276.0,False,-11468.49917,-4878.788125,W,WSW,True,,W,Qs,0.1549963653087616
2934,28081.3,46.74197,-121.88752,670.0,14.8,25647.7,265.0,False,-11474.5973,-4879.900074,W,WSW,True,,W,Qs,3.1351394653320312
2935,28090.9,46.74197,-121.88761,670.0,14.6,25654.0,264.0,False,-11481.45529,-4879.900074,W,WSW,True,,W,Qs,13.435802459716797
2936,28100.5,46.74196,-121.88769,670.0,14.5,25660.2,264.0,False,-11487.55342,-4881.012023,W,WSW,True,,W,Qs,10.982479095458984
2937,28110.0,46.74195,-121.88777,670.0,14.5,25666.5,261.0,False,-11493.65155,-4882.123971,W,WSW,True,,W,Qs,9.54037857055664
2938,28119.6,46.74193,-121.88788,670.0,13.5,25674.9,257.0,False,-11502.03781,-4884.347869,WSW,WSW,True,,W,Qs,6.265035152435303
2939,28129.2,46.74191,-121.888,670.0,11.7,25684.7,253.0,False,-11511.18609,-4886.571767,WSW,WSW,True,,W,Qs,6.329336166381836
2940,28138.7,46.74188,-121.88812,670.0,9.9,25694.4,251.0,False,-11520.3365,-4889.907614,WSW,WSW,True,,W,Qs,4.03751277923584
2941,28148.3,46.74185,-121.88824,669.0,9.9,25704.2,251.0,False,-11529.48693,-4893.243461,WSW,WSW,True,,W,Qs,6.037667751312256
2942,28157.9,46.74182,-121.88836,669.0,9.9,25714.0,251.0,False,-11538.63736,-4896.579308,WSW,WSW,True,,W,Qs,1.2076783180236816
2943,28167.5,46.74179,-121.88847,669.0,9.9,25722.6,249.0,False,-11547.02581,-4899.915154,WSW,WSW,True,,W,Qs,2.865196704864502
2944,28177.0,46.74177,-121.88855,669.0,11.4,25729.3,247.0,False,-11553.12611,-4902.139052,WSW,WSW,True,,W,Qs,3.3770973682403564
2945,28186.6,46.74174,-121.88863,669.0,12.9,25736.0,245.0,False,-11559.22856,-4905.474899,WSW,WSW,True,,W,Qs,2.3501553535461426
2946,28196.2,46.74172,-121.88871,669.0,13.9,25742.7,245.0,False,-11565.32887,-4907.698797,WSW,WSW,True,,W,Qs,3.5962865352630615
