Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],x [m],y [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,Direction []
150,1435.6,46.78192,-121.74495,1607,-610.21598,-438.14508,14.2,1202.6,207,False,SSW
151,1445.2,46.78186,-121.74500,1607,-613.71928,-444.89090,12.5,1210.2,211,True,SSW
152,1454.8,46.78180,-121.74506,1607,-618.51699,-451.08075,12.4,1218.0,214,True,SW
153,1464.4,46.78174,-121.74512,1606,-623.31470,-457.27060,12.3,1225.9,218,True,SW
154,1473.9,46.78169,-121.74518,1606,-628.11241,-463.46045,12.2,1233.7,223,True,SW
155,1483.5,46.78165,-121.74525,1606,-633.23353,-467.40787,12.9,1240.2,228,True,SW
156,1493.1,46.78162,-121.74532,1605,-638.35464,-471.35529,13.5,1246.6,232,True,SW
157,1502.6,46.78158,-121.74539,1604,-643.47576,-475.30271,14.2,1253.1,232,True,SW
158,1512.2,46.78155,-121.74545,1604,-648.59688,-479.25013,14.2,1259.6,238,True,WSW
159,1521.8,46.78152,-121.74555,1604,-655.83088,-481.85209,13.6,1267.2,244,True,WSW
160,1531.4,46.78150,-121.74564,1604,-663.06488,-484.45406,13.0,1274.9,250,True,WSW
161,1540.9,46.78148,-121.74574,1604,-670.29889,-487.05602,12.4,1282.6,250,True,WSW
162,1550.5,46.78145,-121.74583,1604,-677.53289,-489.65798,12.4,1290.3,250,True,WSW
163,1560.1,46.78143,-121.74593,1604,-684.76689,-492.25994,12.4,1298.0,258,True,WSW
164,1569.6,46.78143,-121.74604,1603,-693.44732,-491.92635,11.9,1306.7,265,True,W
165,1579.2,46.78144,-121.74616,1603,-702.12774,-491.59277,11.4,1315.4,272,True,W
166,1588.8,46.78144,-121.74627,1602,-710.80817,-491.25919,10.9,1324.1,278,True,W
167,1598.4,46.78147,-121.74639,1601,-720.00222,-488.17353,10.4,1333.8,283,True,WNW
168,1607.9,46.78149,-121.74651,1600,-729.19628,-485.08787,9.9,1343.5,289,True,WNW
169,1617.5,46.78152,-121.74663,1600,-738.39033,-482.00221,9.8,1353.2,289,True,WNW
170,1627.1,46.78155,-121.74675,1599,-747.58438,-478.91655,9.8,1362.8,291,True,WNW
171,1636.6,46.78159,-121.74686,1598,-755.60438,-474.80234,9.7,1371.9,294,True,WNW
172,1646.2,46.78162,-121.74696,1598,-763.62438,-470.68812,10.1,1380.9,297,True,WNW
173,1655.8,46.78166,-121.74707,1597,-771.64438,-466.57391,10.4,1389.9,299,True,WNW
174,1665.4,46.78170,-121.74716,1597,-778.81655,-462.08164,10.7,1398.4,300,True,WNW
175,1674.9,46.78174,-121.74726,1596,-785.98872,-457.58936,11.0,1406.8,302,True,WNW
176,1684.5,46.78178,-121.74735,1596,-793.16089,-453.09709,11.2,1415.3,302,True,WNW
177,1694.1,46.78182,-121.74745,1595,-800.33306,-448.60481,11.2,1423.7,302,True,WNW
178,1703.6,46.78186,-121.74754,1595,-807.50522,-444.11254,11.2,1432.2,303,True,WNW
179,1713.2,46.78191,-121.74765,1595,-816.14674,-438.38600,10.3,1442.6,303,True,WNW
180,1722.8,46.78196,-121.74777,1594,-824.78826,-432.65946,9.8,1452.9,304,True,WNW
181,1732.4,46.78202,-121.74788,1594,-833.42978,-426.93292,10.8,1463.3,304,True,WNW
182,1741.9,46.78207,-121.74799,1594,-842.07130,-421.20638,10.8,1473.7,304,True,NW
183,1751.5,46.78212,-121.74810,1594,-850.14169,-415.56324,10.5,1483.5,304,True,NW
184,1761.1,46.78217,-121.74821,1593,-858.21208,-409.92010,10.2,1493.4,305,True,NW
185,1770.6,46.78222,-121.74831,1592,-866.28247,-404.27695,10.0,1503.2,305,True,NW
186,1780.2,46.78227,-121.74842,1592,-874.35286,-398.63381,10.0,1513.1,307,True,NW
187,1789.8,46.78232,-121.74850,1592,-880.62119,-393.29646,10.0,1521.3,309,True,NW
188,1799.3,46.78237,-121.74858,1591,-886.88952,-387.95910,10.8,1529.5,310,True,NW
189,1808.9,46.78242,-121.74867,1591,-893.15785,-382.62174,11.6,1537.8,314,True,NW
